YearBuilt,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ProportionParkingGFA,ProportionElectricity(kBtu),ProportionNaturalGas(kBtu),ProportionSteamUse(kBtu),Distribution Center,Hospital,Hotel,K-12 School,Laboratory,Large Office,Medical Office,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Small- and Mid-Sized Office,Supermarket / Grocery Store,University,Warehouse,Worship Facility
5,2,367884,97.0,13279344.0,272.85,0.74,0.0,0.6689502504419708,0.3310497495580292,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1,46797,86.0,2380144.5,73.47,1.57,0.0,0.3840297973255821,0.6159702026744178,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3,56000,73.0,2088978.125,59.34,1.06,0.0,0.4563722933644401,0.5436274365493133,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,2,67371,92.0,2260359.75,46.36,0.69,0.0,0.6790541889695785,0.3209458110304215,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2,52088,73.0,1576122.875,48.99,0.94,0.0,0.3802232926648225,0.6197770703064458,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,3,127776,75.0,4998584.5,80.08,0.63,0.0,0.7855565245905921,0.21444347540940795,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,123920,79.0,9676783.0,309.6,2.5,0.2420916720464816,0.4352010134448515,0.5647988798677589,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,50000,73.0,7942537.5,225.69,4.51,0.0,0.503115790349389,0.4968840771793477,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
86,2,50292,73.0,430473.6875,3.0,0.06,0.0,1.0000007259444865,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,7,207656,76.0,11754087.0,338.16,1.63,0.2616875987209616,0.4950584443878744,0.5049414661025414,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,67235,89.0,2443194.0,49.12,0.73,0.0,0.6850421959747323,0.3149579134759512,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2,91130,73.0,10005492.0,175.77,1.93,0.0,0.7489142618976183,0.25108563253204746,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,3,58118,97.0,1519074.75,21.29,0.37,0.0,0.8231903130673078,0.1768095092846843,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
